distance_travelled,brand,engine_capacity,year_of_creation,engine_type,price,hp
93843.0,Рено,2.5,2013.0,бензин,1542444.0,171.0
378757.0,УАЗ,2.3,2008.0,дизель,350000.0,116.0
370916.0,Хендай,1.6,2019.0,бензин,799000.0,123.0
118000.0,Тойота,2.5,2018.0,бензин,2420000.0,181.0
153567.0,Мерседес,3.0,2017.0,бензин,3150000.0,367.0
160000.0,Мазда,2.3,2017.0,бензин,885000.0,238.0
171823.0,Фольксваген,3.0,2018.0,дизель,3149000.0,224.0
195300.0,Хендай,1.6,2016.0,бензин,815000.0,123.0
114819.0,Киа,1.6,2019.0,бензин,1280000.0,123.0
185075.0,Мазда,1.6,1999.0,бензин,200000.0,106.0
138000.0,БМВ,2.0,2015.0,дизель,3549000.0,190.0
59996.0,Фольксваген,1.6,2021.0,бензин,1780000.0,110.0
36000.0,Мазда,2.5,2015.0,бензин,3300000.0,194.0
85089.0,БМВ,3.0,2015.0,дизель,4899000.0,249.0
189425.0,Мерседес,5.5,2013.0,бензин,4750000.0,544.0
219000.0,Форд,2.0,2007.0,бензин,598000.0,145.0
150912.0,БМВ,2.0,2011.0,бензин,1365000.0,150.0
143615.0,Форд,1.5,2018.0,бензин,1618000.0,150.0
207541.0,Рено,1.6,2007.0,бензин,415000.0,87.0
132738.0,Тойота,3.5,2019.0,бензин,2920500.0,249.0
90000.0,Тойота,1.8,2015.0,бензин,1550000.0,99.0
250000.0,БМВ,1.9,2013.0,бензин,600000.0,118.0
200000.0,БМВ,2.0,2013.0,дизель,1650000.0,184.0
45193.0,Мерседес,2.0,2022.0,дизель,5710000.0,194.0
299000.0,Ленд,3.0,2010.0,дизель,1475000.0,245.0
205574.0,Форд,1.4,2008.0,бензин,404000.0,80.0
64653.0,Volvo,2.0,2010.0,дизель,5190000.0,197.0
182000.0,Мицубиси,2.4,2012.0,бензин,1249000.0,167.0
194378.0,Шкода,1.6,2012.0,бензин,795000.0,105.0
165000.0,Хонда,2.0,2013.0,бензин,1820000.0,143.0
103112.0,Тойота,2.5,2019.0,бензин,2640000.0,181.0
330000.0,Тойота,2.2,1997.0,дизель,450000.0,91.0
133000.0,Форд,2.0,2016.0,дизель,1847000.0,180.0
150000.0,Мерседес,1.6,2013.0,бензин,1229000.0,156.0
285000.0,Volvo,2.4,2010.0,бензин,699000.0,170.0
120861.0,СсангЙонг,2.0,2014.0,бензин,1210000.0,149.0
343840.0,Тойота,3.0,2014.0,дизель,2871000.0,173.0
149992.0,Джили,2.4,2019.0,бензин,1549000.0,149.0
197581.0,Шевроле,1.6,2011.0,бензин,550000.0,115.0
103000.0,Peugeot,1.6,2015.0,бензин,649000.0,120.0
128510.0,Инфинити,2.5,2010.0,бензин,1964000.0,222.0
168422.0,Мерседес,1.3,2019.0,бензин,1710000.0,136.0
116467.0,Мицубиси,2.0,2018.0,бензин,2091000.0,146.0
187055.0,Ниссан,1.6,2012.0,бензин,984000.0,114.0
231758.0,Субару,2.0,2006.0,бензин,660000.0,158.0
102011.0,Мазда,2.0,2015.0,бензин,2370000.0,150.0
266723.0,Рено,2.0,2010.0,бензин,595000.0,138.0
180000.0,Киа,1.6,2008.0,бензин,365000.0,101.0
285000.0,LADA,1.6,2013.0,бензин,280000.0,82.0
245000.0,Хендай,1.6,2012.0,бензин,850000.0,123.0
120000.0,Киа,2.4,2016.0,бензин,2100000.0,188.0
112000.0,Хавейл,2.0,2017.0,бензин,1679000.0,190.0
174000.0,Мини,1.5,2014.0,бензин,1900000.0,136.0
71200.0,Лифан,1.5,2010.0,бензин,650000.0,103.0
38869.0,Омода,1.5,2015.0,бензин,1899000.0,147.0
430000.0,БМВ,1.6,2013.0,бензин,380000.0,99.0
260360.0,БМВ,3.0,2015.0,дизель,2190000.0,245.0
300000.0,Форд,1.6,2004.0,бензин,160000.0,100.0
166000.0,Рено,1.6,2013.0,бензин,895000.0,106.0
2000.0,Хавейл,2.0,2017.0,бензин,3099999.0,190.0
14000.0,Чери,1.5,2014.0,бензин,1759000.0,147.0
121405.0,Ленд,2.0,2017.0,бензин,3635000.0,250.0
193836.0,LADA,1.8,2019.0,бензин,930000.0,122.0
164261.0,Шкода,1.8,2013.0,бензин,1150000.0,152.0
114115.0,Рено,2.0,2017.0,бензин,1425000.0,143.0
52000.0,Москвич,1.5,2015.0,бензин,200000.0,75.0
109308.0,Сеат,1.2,2012.0,бензин,786600.0,105.0
204884.0,Фольксваген,1.4,2017.0,бензин,1665000.0,150.0
228000.0,Шевроле,1.8,2015.0,бензин,545000.0,141.0
60000.0,Хавейл,2.0,2019.0,бензин,3125000.0,218.0
109004.0,Чери,2.0,2015.0,бензин,1095000.0,136.0
270000.0,Ауди,2.0,2015.0,бензин,1399000.0,211.0
109.0,Zeekr,1.8,2011.0,электро,6087000.0,146.0
299000.0,Тойота,1.8,2003.0,бензин,500000.0,132.0
267568.0,Форд,1.8,2001.0,бензин,170000.0,115.0
170000.0,Peugeot,1.6,2015.0,бензин,519000.0,120.0
44500.0,Шкода,1.6,2021.0,бензин,1970000.0,110.0
52000.0,Шкода,2.0,2021.0,бензин,3630000.0,180.0
326000.0,Лексус,3.5,2015.0,бензин,1380000.0,296.0
190800.0,Шевроле,1.6,2012.0,бензин,900000.0,109.0
230969.0,Тойота,4.0,2018.0,бензин,4099000.0,249.0
68000.0,LADA,1.8,2016.0,бензин,790000.0,122.0
40000.0,Джили,2.4,2021.0,бензин,1975000.0,148.0
121000.0,Ситроен,2.0,2019.0,дизель,1620000.0,150.0
130144.0,Хендай,1.6,2019.0,бензин,1429444.0,123.0
134000.0,Фольксваген,1.6,2011.0,бензин,900000.0,102.0
143719.0,Хонда,2.4,2014.0,бензин,1734000.0,194.0
121000.0,Киа,1.6,2020.0,бензин,1419000.0,123.0
215000.0,Фольксваген,1.6,2012.0,бензин,649000.0,105.0
139245.0,Хендай,1.6,2017.0,бензин,1259000.0,123.0
170000.0,Киа,3.8,2017.0,бензин,2005000.0,334.0
67194.0,Киа,2.0,2020.0,бензин,2195000.0,150.0
47000.0,Чери,1.5,2014.0,бензин,1549000.0,147.0
192000.0,Киа,2.5,2008.0,дизель,698000.0,170.0
58000.0,Хендай,2.2,2022.0,дизель,5500000.0,200.0
98000.0,Киа,2.0,2019.0,бензин,1788000.0,150.0
86000.0,Ниссан,2.0,2016.0,бензин,2000000.0,147.0
122286.0,Киа,2.5,2015.0,бензин,2299000.0,194.0
320000.0,Мерседес,3.0,2014.0,бензин,3090000.0,333.0
23000.0,Рено,1.6,2013.0,бензин,1350000.0,102.0
375000.0,Тойота,2.2,2000.0,бензин,590000.0,140.0
303055.0,Мазда,2.0,2015.0,бензин,1273000.0,150.0
238000.0,Тойота,2.4,2010.0,бензин,1500000.0,170.0
