Пробег,Марка,Объем двигателя,Год создания,Тип двигателя,Цена,Лошадиные силы,Расход,Кол-во мест,Трансмиссия
163 343,Хендай, 2.0,40,бензин,1 360 000,150,0,- мест,-----
77 299,Донг, 1.6,30,бензин,750 000,117,7.4,5,АКПП
240 000,Хендай, 2.0,2017,бензин,1 350 000,150,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
11 005,Воях,,2023,-,4 990 000,---,0,- мест,-----
145 039,Ниссан, 2.0,2011,бензин,1 530 000,141,0,- мест,-----
371 000,Хендай, 1.5,2005,бензин,450 000,102,0,- мест,-----
95 853,Чери, 1.6,8,бензин,2 000 000,186,0,- мест,-----
213 219,Мерседес, 3.5,2013,бензин,1 690 000,306,0,- мест,-----
92 160,Фольксваген, 1.6,2015,бензин,1 199 000,105,0,- мест,-----
208 781,Киа, 2.0,2011,бензин,1 200 000,150,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
128 556,Фольксваген, 2.0,2018,дизель,5 200 000,204,0,- мест,-----
205 000,Субару, 2.0,010805,бензин,1 690 000,280,7.6,5,Вариатор
32,Ли, гибр,7,1.5 л,7 990 000,449,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
6 345,БМВ, 2.0,3,дизель,7 700 000,190,0,- мест,-----
132 559,Мерседес, 2.0,2015,бензин,2 380 000,184,0,- мест,-----
13 978,Генезис, 2.0,70,бензин,3 270 000,197,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
78 625,Инфинити, 2.0,50,бензин,2 220 000,211,0,- мест,-----
193 947,Бентли, 6.0,2013,бензин,4 000 000,625,0,- мест,-----
219 075,Тойота, 2.5,2018,бензин,2 266 000,181,0,- мест,-----
125 518,Тойота, 4.7,2007,бензин,2 799 000,288,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
22 000,LADA, 1.6,2023,бензин,920 000,90,0,- мест,-----
58 395,Хавейл, 1.5,7,бензин,1 999 000,150,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
107 835,Хендай, 2.0,2019,бензин,1 850 000,149,0,- мест,-----
73 479,Ситроен, 2.0,2020,дизель,2 409 000,150,0,- мест,-----
169 955,LADA, 1.6,2018,бензин,698 000,87,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
217 321,Ниссан, 2.0,2013,бензин,1 234 000,141,0,- мест,-----
118 236,Киа, 1.4,2019,бензин,1 759 000,140,0,- мест,-----
142 574,БМВ, 2.0,3,дизель,2 020 000,184,0,- мест,-----
62 000,Киа, 1.6,2019,бензин,1 899 000,128,0,- мест,-----
60 820,Рено, 1.3,2021,бензин,1 959 000,150,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
192 068,Мазда, 2.0,6,бензин,1 229 000,147,0,- мест,-----
111 687,Киа, 1.6,2017,бензин,1 247 000,123,0,- мест,-----
93 000,Хонда, 1.5,2018,бензин,1 655 000,131,5.3,5,Вариатор
125 000,Шкода, 1.4,2012,бензин,520 000,80,0,- мест,-----
193 438,Мерседес, 1.6,2015,бензин,1 930 000,156,0,- мест,-----
61 151,Хавейл, 2.0,7,бензин,1 862 000,190,0,- мест,-----
180 000,Мазда, 2.3,7,бензин,949 000,238,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
24 590,Джетур, 1.6,70,бензин,2 400 000,190,0,- мест,-----
145 000,Форд, 1.4,2005,бензин,230 000,80,0,- мест,-----
124 400,Рено, 1.5,2016,дизель,1 049 000,109,0,- мест,-----
155 000,Опель, 1.2,2011,бензин,560 000,85,0,- мест,-----
80 014,Киа, 2.0,2019,бензин,1 920 000,150,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
22 926,БМВ,---,2022,электро,7 300 000,326,0,5,Редуктор
270 000,Хонда, 1.8,2008,бензин,762 000,140,0,- мест,-----
81 716,Фольксваген, 3.6,2014,бензин,2 995 000,249,0,- мест,-----
104 996,Киа, 2.5,5,бензин,2 799 000,194,0,- мест,-----
220 000,Опель, 1.8,2009,бензин,635 000,140,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
41 779,Шкода, 1.4,2021,бензин,2 319 000,150,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
24 796,Киа, 1.6,2022,бензин,2 025 000,123,0,- мест,-----
221 000,LADA, 1.6,2010,бензин,350 000,98,7.2,5,МКПП
14 468,Ауди, 2.0,6,бензин,7 400 000,245,0,- мест,-----
330 000,БМВ, 2.0,2,бензин,400 000,150,9.4,5,МКПП
68 500,Киа, 1.6,2016,бензин,1 150 000,123,6.4,5,АКПП
,---,,0,-,No price,---,0,- мест,-----
262 000,Лада, 1.5,2112,бензин,119 999,91,7.2,5,МКПП
265 000,Шевроле, 2.2,2014,дизель,1 167 000,184,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
201 400,Мицубиси, 2.0,2013,бензин,1 314 000,146,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
135 065,Хендай, 1.6,2020,бензин,1 606 000,123,0,- мест,-----
259 000,Шкода, 1.8,2012,бензин,944 000,152,0,- мест,-----
56 000,Тойота, 1.8,2021,бензин,2 750 000,95,4.4,4 ,Вариатор
,---,,0,-,No price,---,0,- мест,-----
95 000,Тойота, 1.8,2019,бензин,2 498 000,99,4.4,7,Вариатор
72 352,Мерседес, 2.9,2020,дизель,8 550 000,330,0,- мест,-----
96 004,Шкода, 1.4,2018,бензин,2 547 000,150,0,- мест,-----
173 000,Шкода, 1.4,2009,бензин,495 000,86,0,- мест,-----
164 933,Мерседес, 3.0,2014,бензин,2 999 000,333,0,- мест,-----
298 054,LADA, 1.6,2018,бензин,499 000,87,0,- мест,-----
173 400,Ниссан, 1.5,2008,бензин,515 000,109,0,5,Вариатор
,---,,0,-,No price,---,0,- мест,-----
,---,,0,-,No price,---,0,- мест,-----
